Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Sos Bolognese Barilla,81,5,4,5.5,1.5,
Sos Bolognese Star,109,5.7,6.8,6.3,0,100
Sos carbonara cu parmesan Dolmio,91,2.4,7.2,4.2,0.4,
Sos chili Remia,20,0.2,0,4.6,0,
Sos chilli Pimento Heinz,28,0.3,0,3.2,0.9,
Sos clasic bruschette Buitoni,100,3,6.1,6.1,0,1 lingura = 30 g
Sos cu ardei si verdeturi Knor Salad Dressing,410,0.2,43,5.8,0,1 plic = 9 g
Sos cu chilli Szechuan Uncle Ben`s,90,1,4.5,11.3,0.9,
Sos cu pasta de tomate 35% Regal,92,0.1,0.1,21,1.4,1 cutie = 540 g
Sos curry de inspiratie tailandeza Uncle Ben's,108,1.4,5.3,13.3,1.6,
Sos curry mild Rapunzel,117,1.8,6.4,11,2.3,
Sos de arpagic Ikea,370,8,15,51,0,
Sos de ciocolata Dr.Oetker,285,1.9,2.9,63.5,0.5,1 tub=200 g
Sos de maioneza Clever,365,0.3,40,8.2,0,
Sos de maioneza cu usturoi Don Gustosso,265.2,0,24,12.3,0,
Sos de maioneza light Don Gustoso,280.8,0,27.9,7.5,0,
Sos de maioneza Tip,387,0.3,40.1,8.1,0,
Sos de peste Delhaize,56,8,0,6,0,1 sticla - 200ml
Sos de rosii Auchan,31,1.1,0.1,6,0.8,
Sos de rosii bio Granoro,23,1.3,0.1,3.6,1,1 sticla = 700 g
Sos de rosii cu busuioc Barilla,56,1.6,1.2,9.6,2.4,
Sos de rosii pasata Del Monte,22,1.5,0.2,3,1.5,
Sos de rosii Passata Olympia,17,1,0,3.3,0,
Sos de salata tzatziki Univer,254,1,24,7.2,1.8,1 sticla = 240 g
Sos de soia Heinz,179,3.8,0.1,41,0,
Sos de soia Tao Tao,26.5,3.8,0,2.7,0,
Sos de tomate Auchan,38,1.1,0.2,8,2.9,1 cutie = 400 g
Sos de tomate cu branza ricotta Barilla,95,3.3,5.8,6.6,1.8,1 borcanel = 400 g
Sos de usturoi Glenn KFC,436,1.6,42.4,11.6,0,1 buc = 50 g
Sos de usturoi Papalito,334,0.1,34,7.6,0,1 cutie = 60 g
Sos dulce-picant Pantai,189,1.1,0.2,45.8,0,1 sticla = 880 g
Sos French KFC,208,0.6,20.6,5.4,0,1 buc = 50 g
