Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Ciocolata 72% cacao cu zmeura si stafide Delhaize,550,7,42,36,11,1 ciocolata =100 g
Ciocolata 74 % cacao Autentic Rom,499,8.2,27,50.2,0,1 patratel = 7.33 g
Ciocolata 74% Delhaize DLL Swiss,542,8.9,40.1,30.2,12.4,1 buc = 100 g
Ciocolata 75% cacao Dark Intense Heidi,597.6,7.3,58.4,28.9,0,1 patratica = 8 g
Ciocolata 75% Intense Pleasure Kandia,554,11.1,36.8,39.3,10.4,1 ciocolata = 80 g
Ciocolata 85% cacao Cavalier,491,6.9,41,21.2,25.7,
Ciocolata 85% cacao Moser Roth,567,9.1,49.4,21.5,0,
Ciocolata 85% Cora,577,10,47,21,15,1 patratel = 10 g
Ciocolata 90% cacao Lindt,600,10,55,20,10,20g
Ciocolata 92% cacao Vivani Feine Bitter,648,8.5,59.4,13.1,0,1 bucata = 80 g
Ciocolata 99% cacao Excellence Lindt,530,13,49,8,0,1 patratel = 3 g
Ciocolata aerata amaruie Poiana,510,4.7,31,53.5,7.3,1 buc = 100 g
Ciocolata After Eight Nestle,428,2.5,12.8,74.4,0,
Ciocolata alba crisp  cu capsuni Bellarom,566,6.2,35.1,56.3,0,1cutie=200g
Ciocolata alba cu alune intregi Ritter Sport,583,8.4,39.9,47.6,1.5,
Ciocolata alba cu alune si orez expandat Van d'Or,566,7.8,36.5,50.7,1.6,
Ciocolata alba cu ceai de rooibos si vanilie Cafe-Tasse,529,5.9,32.1,54,0,1 tableta = 85 g
"Ciocolata alba cu iaurt, capsuni si rabarbar Lindt",564,7.1,36,5352,0,
Ciocolata alba cu musli Poiana,520,6.1,28.5,60,0.2,1 patratica = 8.5 g
Ciocolata alba cu zmeura Choco Venture Heidi,557,6.9,37.1,48.9,0,1 buc = 80 g
Ciocolata alba Milka,535,4.6,29.5,63,0,
Ciocolata alba si neagra Choco Duo Ritter Sport ,547,7,33,55,2.2,1 buc = 100 g
Ciocolata amara umpluta cu crema cu aroma de tiramisu Schogetten,554,6.7,37,44,0,"1 patratica = 5,5 g"
Ciocolata amaruie 55% cacao Kandia,535,6.5,34.9,54.6,8.3,1 patratica = 10 g
Ciocolata amaruie 70% Wawel,497,8,39,34,12,
Ciocolata amaruie 72% Carrefour,499,9.5,40,34,11,1 patratel = 8 g
Ciocolata amaruie 74% cacao cu portocala Van d'Or,553,7,40.8,34.3,10.4,1 buc= 100 g
Ciocolata amaruie 75% cacao Sweet&Safe,440.2,10.1,38.6,31.1,14,1 patratel = 6 g
Ciocolata amaruie 75% cu stevia Sweet&Safe,440,10.1,38.6,31.1,14,1 ciocolata = 90 g
Ciocolata amaruie 86% Noir Brut Cote D'Or,605,8.6,54.5,18.5,3,
Ciocolata amaruie cu alune de padure intregi caramelizate Heidi,556.5,7.8,38.6,40.4,0,
Ciocolata amaruie cu aroma de violete Auchan,524,7.1,34,55,7.5,1 patratel = 10g
Ciocolata amaruie cu capsuni strawberry dark Lindt,500,5,30,50,2.5,1 buc = 100 g
Ciocolata amaruie cu crema de lamaie verde Kandia,560,5.9,34.5,56.4,5.6,1 buc = 100 g
Ciocolata amaruie cu crema lamaie Poiana,460,2.9,20.5,65,4.6,
"Ciocolata amaruie cu guava, papaya si chili Heidi SummerVenture Mexico",556,7.8,33.3,56.1,0,1 cutie = 80 g
Ciocolata amaruie cu merisor Heidi Grand'Or,549.3,5.7,34.5,54,2,1 ciocolata = 80 g
Ciocolata amaruie cu portocale Anidor,560.1,9,39.6,39.7,0,
Ciocolata amaruie Delicacy,516,3.7,30,51,12,1 patratel = 6 g
Ciocolata amaruie Derby,513,5.4,29.9,51.1,8.7,
Ciocolata amaruie fara zahar Sly,464.4,5.2,34,56.3,9.4,1 patratica = 5 g
Ciocolata amaruie Laura,525,5.6,33.2,49.8,2.1,1 ciocolata = 90 g 
Ciocolata amaruie Penny,495,4.6,28,51,0,1 patratel = 8 g
Ciocolata amaruie Proxi,516,3.7,30,51,0,
Ciocolata Anidor 70%,590.5,8.9,44.1,37,0,
CIocolata Bouquette Cappuccino Heidi,573,7.1,38.8,48.7,0,1 buc = 9 g
Ciocolata cacao 60% Amazonas,574,4.8,40.6,42.3,0,1 ciocolata = 125 g
Ciocolata cappuccino&Shoko Keks Amanie,525,6.3,29.6,57.2,2.1,1 buc = 33 g
Ciocolata capsuni strawberry&crispies Primola,530.8,3.6,33.4,58,0,
