Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
"Iaurt cu kiwi 2,2% Froop Muller",106,3.9,2.2,16.9,0,1 pahar = 150 g
Iaurt cu lapte de oaie 6% Covalact,88,4.4,6,4,0,1 cutie = 200 g
"Iaurt cu mere si pere 0,1 % Milbona Lidl",58,4.6,0.5,7.6,1.2,1 cutie = 250 g
Iaurt cu mure si zmeura Cremoso Danone,108,3.6,4.2,14,0,1 pahar = 125 g
Iaurt cu nuca de cocos si mango Vitasia,94,4.1,2.5,13,0,1 cutie = 150 g
Iaurt cu piersici Danone Frutmania,84,2.7,2.1,13.7,0.3,1 pahar = 125 g
"Iaurt cu piersici si caise 1,5% Fulga",62,3.2,1.5,9,0,1 buc = 125 g
Iaurt cu piersici si caise 5% Pezzi di Frutta Muller,104,3,3.6,14.1,0.7,1 buc = 150g
Iaurt cu preparat de cirese si banane Froop Muller,113,3.7,3.1,16.7,0,1 buc = 150 g
Iaurt cu pulpa de capsuni Oke,60,2.9,1,10,0,
Iaurt cu stafide si merisoare Zuzu Bifidus,84,3.4,2.8,11,0.5,1 cutie = 188 g
Iaurt cu topping de fructe de padure Fruzu,103.3,2.5,3.7,15,0,1 pahar = 130 g
Iaurt cu visine Boni,79,2.5,1.4,14.2,1,1 pahar = 100 g
Iaurt cu visine Zuzu,70,3.2,1.5,11,0,
"Iaurt cu zmeura-lamaie 0,1% bio Andechser",71,3.6,0.1,13.9,1.2,1 buc = 180 g
"Iaurt de baut 0,1% cu zmeura bio Andechser",60,2.7,0.1,12.1,0.2,
"Iaurt de baut 0,1% probiotic Coop",25,3.5,0.1,2,1.2,
"Iaurt de baut 0,5% cu visine Margareto",61,1.5,0.5,12.6,0,
"Iaurt de baut 0,7% Jogobella Zott",69,2.2,0.7,13.4,0,1cutie = 330 g
"Iaurt de baut 0,8 piersici si cereale Activia Danone",62,3,0.8,10.6,0.9,
Iaurt de baut 1% cu nectarine si guava Zuzu,77,3.2,1,13.5,0,1 buc = 330 g
"Iaurt de baut 1,2%  bio cu mure si afine Andechser",74,2.7,1.2,13,0,
"Iaurt de baut 1,5% Covalact",42,3,1.5,4,0,1 pahar = 370 g
"Iaurt de baut 1,8% NutriDay Danone",48,3.2,1.8,3.9,0,1 pahar = 370 g
Iaurt de baut 2% Boni,56.8,3.2,2,4.5,0,1 sticla = 400 g
Iaurt de baut 2% Tnuva,51,3.9,2,0,0,1 buc = 450 g
"Iaurt de baut 2,2 % NutriDay Danone",46,3,2.2,3.6,0,
"Iaurt de baut 2,5% din lapte de capra Rupi",49,3.4,2.5,3.5,0,1 sticla = 350 ml
Iaurt de baut Activia cu afine Danone,58,2.9,0.8,9.6,0.4,
"Iaurt de baut Bio 2,8% Napolact",54,3.4,2.8,3.7,0,0
Iaurt de baut bio Pina Colada Lassi Andechser,86,2.5,2.6,13.1,1.1,1 buc = 250 g
