Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Alune de padure coapte Elmas,634,21.4,55,18.9,11.3,
Alune de padure crude,536,25,46.4,21.4,10.7,
Alune de padure crude Clever,640,26.7,49.5,16.6,10.5,
Alune de padure crude Fine Foods,705,15,61,18,10,1 punga = 250 g
Alune de padure crude Real,644,12,61.6,10.5,8.2,
Alune de padure Cypressa,670,17.2,64.7,4.8,0,
Alune de padure decojite Orlando's,690,25,46.4,14,10.7,1 punga = 250 g
Alune de padure Nutline,637,21.9,53.9,16.2,0,1 punga = 50 g
Alune de padure prajite 365,634,21.4,18.9,95,0,
Alune de padure prajite Horeca,652,15,62,18,9,1 punga = 1 kg
Alune de pamant,567,26.7,49.2,16.1,8.5,
Alune de pamant Elmas,603,26.9,48.5,20.3,11.2,
Alune decojite Selgros,570,25,48,12,9,1 punga = 500 g
Alune in crusta Alesto Cruspies,506,13.8,31.2,40.4,0,1 punga = 200 g
Alune nesarate Mogyi,638,27.5,51.5,15,0,1 punga = 170 g
Alune padure Stilla Natura,628,15,60.8,16.7,0,
Alune picante Soltino,592,25.8,45.7,15.6,0,1 punga = 300 g
Alune prajite fara ulei sarate Fiesta,620,25,50,12.6,6.8,1 punga mica = 50 g
Alune prajite in ulei,617,16.8,56.3,21.4,9.9,
Alune prajite Saltino,614,25.3,49.4,13.7,0,
Alune prajite si sarate K-Classic,620,25,50.3,13.5,6.7,
Alune Royal Nuts K-Classic,629,15.5,54.5,15.5,7.3,1 punga = 200 g
Alune Stilla Natura,628,15,60.8,16.7,0,1 punga = 200 g
Amestec de nuci Hema,695,17.6,62.3,11.4,9.3,
Amestec de seminte omega forte Solaris,600,20.4,50,14.5,15.1,
Amestec nuci exotice cu stafide Kluth,476,10,31.1,31.1,3.5,1 punga = 200 g
Amestec nuci tropicale si stafide Fine Food,529,13.1,39.9,29.3,7.7,
Amestec Party Mix Nutline,504,14.2,33.9,35.5,0,1 punga = 150 g
Amestec seminte Maryland,446,12.8,26.7,34,0,
Arahide coapte cu sare Fiesta,620,25,50,12.6,6.8,
Arahide coapte si sarate Elmas,568,29.8,42.5,22.6,12.3,
Arahide coapte si sarate Soltino,619,25,50,14,6.7,
Arahide crude Bunetto,567,25,50,15,0,1 cutie = 500 g
Arahide crude Elmas,559,26.9,44.2,23.6,7.3,
Arahide crude Solaris,584,25.8,44.5,15.7,0,1 punga = 150 g
Arahide decojite crude Carrefour,598,26.7,49.5,6.1,0,1 punga = 500 g
Arahide decojite crude Orlandos,634,25,48,21,9,1 punga = 250 g
Arahide decojite prajite sarate 365,568,29.9,42.5,22.6,12.4,
Arahide decojite prajite si sarate Proxi,635,26,50.8,26,0,
"Arahide decojite, prajite si sarate Clever",570,25,50,12,9,1 punga = 100 g
Arahide in coaja prajite si sarate Fiesta,532,23.4,43.2,19.8,7.2,
Arahide in coaja rosie Fiesta,532,23.4,43.2,19.8,7.2,1 punga = 50 g
Arahide in coaja subtire Orlando's,622,25,46.7,21,9,1 punga = 150 g
Arahide nedecojite crude Agrofruct,572,25,50,12,9,1 punga = 600 g
Arahide Petrecarete Nutline,516,23,39.5,18.1,8.2,1 punga = 50 g
Arahide prajite decojite si sarate Best Foods,576.6,20.3,41.5,31.8,2.9,
Arahide prajite in ulei si sarate Elmas,631,28.9,53.6,16.4,10.5,1 punga mica = 45 g
Arahide prajite si sarate Circuss Lidl,592,24.7,47.4,13.4,0,1 punga = 500 g
Arahide prajite si sarate Gud Kikiriki,607,27.8,49.1,10.2,6.8,
Arahide prajite si sarate Snacksia,622,25,46.7,21,9,
Arahide prajite si sarate UberNuts,622,27.5,52.4,5.9,8.2,
Arahide Stilla Natura,602,26.6,48.7,14.4,8,1 punga= 100 g
Boabe de cacao raw bio Managis,603,14,46,35,25,
Boabe de soia uscate,451,39.6,21.6,32.7,8.1,
Boabe soia eco BIOrganik,413,39.5,20,22,11,1 punga = 500 g
Caju Alesto Fine Lidl,612,20,50,20.8,32,
Caju Carrefour,582,20.5,44.7,21.6,0,
Caju Clever,604,20.5,44.7,27.2,5.6,1 punga = 200 g
Caju crud DLL Mega Image,685,19,46,26,3,1 punga = 250g
Caju crud Fine Foods,595,18,44,30,3.3,1 punga = 250 g
Caju crud Jasmin,582,18.2,43.9,26.9,3.3,1 punga = 50 g
Caju crud Orlando's,588,18,44,30,3,
Caju crud Real,572,18,42,31,2.9,
Caju Mogyi,621,20,49.8,21.5,15.3,1 punga = 70 g
Caju prajit Hacendado,615,19.9,47.8,24.7,3.3,
Caju Rasfatat prajit si sarat Nutline,622,18,51,22.9,3,1 buc = 1 g
Caju Sunny Island,589,20,45,24,0,
Castane coapte,245,3,2,53,5.1,
Castane fierte,211,4.6,2,40,0,
"Cocktail alune, alune de padure, migdale, caju Carrefour",605,21,52,18,4.2,
Cocktail Nuci Casino,594,23,49,11,6,1 punga = 100 g
Faina de cocos Let's Do... Organics,467,20,16.6,60,40,1 punga = 454 g
Faina de coji de psyllium Paleolit,201,1.4,1.2,3.6,87.8,1 punga = 200 g
Faina de migdale Bakos,416,47.5,16.8,11.7,14.1,1 punga = 500 g
Faina de nuci de macadamia Paleolit,464,28,29,15.8,14.8,1 pachet = 200 g
Faina de seminte de in Paleolit,346,32,14,41,38,1 punga = 300 g
Faina din seminte de in Denes Natura,526,22.2,42.3,14.1,9.2,1 punga = 250 g
Faina migdale degresata Nature Cookta,282,36.4,12,7.2,29.5,1 punga = 250 g
Faina Mix de Fibre fara Carbohidrati NoCarb,180,1.1,0.7,0,84.5,1 pachet = 250 g
Fistic,562,20.3,45.4,27.5,10.3,
Fistic copt cu sare de mare Orlando's,598,21.1,47.6,16.2,10.3,
Fistic copt Orlando's,577.6,21.1,47.6,16.2,0,
Fistic copt si sarat Soltino,619,19.8,52.1,15.6,0,1 punga = 300 g
Fistic crud Elmas,562,20,45,28,10,
Fistic Grivas,603,14.9,56.9,12.9,0,
Fistic prajit Best,603,33.2,44.5,12.9,0,1 punga = 50 g
Fistic prajit Mega image ,619,26.3,50.7,17.7,0,
Fistic prajit si sarat K Classic,619,19.8,52.1,15.6,4.2,1 punga = 250g
Fistic prajit si sarat Star,591,18,45,24,7,1 punga = 150 g
Fistic sarat si prajit No. 1 Carrefour,661,20,43.1,26,0,
Fulgi de cocos Fruit Orchard,354,3.3,33.4,15.2,0,1 punga mare = 500 g
Fulgi de migdale Orlando's,531.2,21.8,50.4,22.6,10,1 punga = 250 g
Fulgi de nuca de cocos deshidratata SanoVita,650,8.7,15.8,65,9,1 lingura = 5 g
Fulgi migdale 365 ,656.6,21.8,50.4,22.6,12.7,
Fulgi ovaz Fine Life,372,13,7,59,10.2,
Mac,533,18,44.7,23.9,10,
Miez crud de seminte e floarea soarelui 365,594,23,47.4,4.3,10.5,
Miez crud seminte floarea soarelui Mega Image,564,21.2,49.4,17.6,14.1,
Miez de floarea soarelui prajit si sarat Real,625,19,49,24,6,
Miez de nuca Californian Walnuts Kaufland,675,14.4,62.5,10.6,6.1,1 pachet = 200 g
Miez de nuca Gusturi Romanesti,644.8,13.9,60.8,17.5,0,1 punga = 200 g
Miez de nuca Nutribon,697,15.2,65.2,9,6.7,1 punga = 500 g
Miez de nuca premium Orlando's,700,7.6,70,3,13.6,1 punga = 250 g
Miez de nuca Spar,654,15,65,14,6.7,1 pachet = 200 g
Miez de nuca Winny,696,16.1,59.7,18.1,10.9,1 punga = 200 g
Miez dovleac crud Farme's Snack,594,34,48,3.6,0,
Miez dovleac crud Horeca,423.3,24,31.5,9,3.9,
Miez floarea soarelui copt si sarat Elmas,638,21.7,57.2,15.2,11.5,1 punga = 50 g
Miez nuca Hacendado,714,15.2,65,13.7,6.7,
Miez prajit floarea soarelui Best,682,24.2,58.8,11.1,5.9,
Miez samburi de caisa Fruit Orchard,640,18.6,54.2,16.9,3,
Miez seminte de dovleac crud Selgros,540,25,45.8,17,3.9,1 punga = 200 g
Miez seminte dovleac Clever,522,32,42,2.3,3.9,1 punga = 100 g
Miez seminte floarea soarelui Go Green,600,23,50,14.5,6,
Miez seminte floarea soarelui prajit si sarat Selgros,592,20,51,3.1,10.6,
Migdale,578,21.3,50.6,19.7,11.8,
Migdale Billa,626,22.7,55.1,5,9.5,1 punga = 200 g
Migdale coapte cu sare de mare Orlando,657,21.8,50.4,22.6,12.7,1 punguta - 50 g
Migdale coapte Orlando,580,25.4,44.6,24.6,10.8,
Migdale crude Agrofruct,607,21,53,17,10.5,
Migdale crude Backfee,619,24,53,5.7,11.4,
Migdale crude Cora,665,22.1,52.8,19.3,11.8,
Migdale crude Fruit Orchard,607,21.6,49,21.6,12,1 punga = 200 g
Migdale crude Horeca,656,21.8,50.4,16.2,12.7,
Migdale crude Jasmin,640.9,23.8,53.1,16.8,12.7,1 punga = 50 g
Migdale crude Mega Image,550,22.1,52.8,19.3,11.8,1 punga = 250 g
