Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Snitel piept de pui,226,14,12,16,0,1 buc cat palma = 80 g
Snitel vegetal Agricola,145,14,3,14,0,
Soia cuburi Inedit,223,51.5,1.5,1,0,1 punga = 100 g
Soia felii Inedit Dr.Oetker,223,51.5,1.5,1,3,1 punga = 100 g
Soia texturat Inedit,334,50,1.5,30,0,
"Ssalata cu pui, gouda si dressing de iaurt Time to Taste",92,3.5,6.5,2.7,3.5,1 portie = 280 g
Stiuca gatita fara ulei,128,27.9,1,0,0,
Suc de lamaie 100% Limmi,24.2,0.2,0.1,5.6,0,1 sticla = 200 ml
Sunca de porc cu legume ElPozo,176,10,12,7,0,1 buc = 21g
Supa chinezeasca acra-iute,150,7,9,11,3.4,
Supa crema de ciuperci Knorr,18,0.7,0.2,3.3,0.1,1 plic = 60 g
Supa crema de linte la plic Mammita,31,1.4,0.6,5,0,1 plic = 90 g substanta uscata
Supa crema de rosii Velicia Scandia ,62,0.8,4.4,4.7,0,
Supa cu fidea cu gust de branza SunPei,459,12.9,19.7,57.4,19.7,1 portie = 71 g
Supa de gaina instant Mammita,39,1.3,1.3,5.6,0,1 plic preparat = 220 g
Supa de pui cu fidea Maggi,303,11.5,4.2,52.6,2.8,1 plic = 50 g
Supa de pui instant cu crutoane Knorr,383,10,12,58,1,1 plic = 23 g
Supa de pui instant Mikado Lidl,21,0.9,0.3,3.5,2,
Supa de rosii cu paste Knorr,31,0.7,0.5,6.4,0.5,1 portie = 250 ml
Supa de vacuta cu fidea Maggi,332,14.1,8.5,48.1,2.5,1 punga = 56 g
Supa Fresh Pomodoro Frufru,40.4,2.1,0.2,7.6,0.5,1 cutie = 450 g
Supa instant cu taitei si gust de rata Mammita,87,1.8,3.6,11.9,0,1 plic = 60 g
Supa instant de rosii cu taitei Maggi,358,8.4,8.5,59.3,5.2,1 plic = 18 g
Supa limpede de legume,6,0,0,1.2,0.4,
Supa limpede de vita,10,1.6,0.4,0,0,
Supa rosii Arla,80,1.5,4.5,7,0,
Taitei Shirataki Konjac,17,0,0.1,2,0,
Tocana de legume frantuzeasca Delhaize 365,42,0.8,1.5,6.2,0,
Tocanita porc cu ciuperci Traditii Scandia,132,15.3,10,3.6,0,
Tofu afumat Inedit,111.4,11.9,4,5,0,
Tofu bio cu marar Inedit,107,12.1,4,5.7,0,
Tofu Bio Natur Kaufland,124,14.2,7,0.5,0,1 cutie = 200 g
Tofu Cauldron,105,12.1,6,0.6,0.5,
Tofu in saramura Inedit,155,15.1,8.5,4.5,0,1 cutie = 230 g
Tofu Telemah,150,18,6,8,0,1 buc = 250 g
Topping de capsuni,254,0.2,0.1,66.3,0.7,
Tortellini al prosciutto Baneasa,369,14.6,8.5,58.5,0,1 punga = 250 g
Tortellini cu prosciuto Danieli,308,10.1,9.3,45,1.7,1 cutie = 1 kg
Tortellini ricotta & spinach 365 Mega Image,286,10,10.5,35.5,4.6,1 pachet = 500 g
"Tortillas cu pui, rosii si cascaval Maheso",157,9.7,6.8,14.2,0,1 buc = 280 g
Ulei de masline extra virgin Abaco,900,0,100,0,0,1 sticla = 500 ml
Unt arahide Crunchy Sainsbury's,610,22.2,52.6,12,5.6,
Unt arahide Urtekram eco.,610,32,48,8,9,
Unt de arahide,588,24,50,21.6,8,
Unt de arahide ASDA,615,25.3,48.9,15.1,6.8,
Unt de arahide bio Green,640,26,54,12,0,1 lingurita = 15 g
Unt de arahide BulkPowders,564,29.1,46.1,11.8,7.9,1 cutie = 500 g
Unt de arahide Cinderella,625,25,50,25,6.3,
Unt de arahide cremos Bio Allos,589,24.6,50.8,9.9,7.1,1 borcan = 227 g
Unt de arahide cremos Peo`s,652,24,53,18,0,1 cutie = 340 g
Unt de arahide cu ciocolata Combat Muscle Pharm,372.5,68.5,7,11,2.8,1 cupa = 34.9 g
