Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Snack Tortitzi cu susan alb si negru,398,6.9,8.4,73.7,0.7,1 punga =80 g
Snacks cu aroma se pizza 365 Mega Image,489,6.5,27.5,53.6,1,1 punga = 50 g
Snacks cu gust de pizza Lotto Best Food,505,8,35,51,0,
Snacksuri cu branza Kubeti,320.4,6.7,10.9,48.9,1,1 punga = 45 g
Snacksuri cu pui Kubeti,446.9,7.8,15,68.8,0,
Snacksuri Krax original bacon,500,7.9,27,57,4.6,o punga = 67 g
Snackuri cu gust de sunca Krax Original Bacon,440,2.4,23,55,4,
Snackuri Lotto Classic,525,7,35,46,0,1 punga = 35 g
Stick-uri cu susan Funta stick Salta Pinnar,403,13.6,10.5,63.6,0,1 punga = 300 g
Sticks Croco,398,8,13,67,0,1punga =30g
Sticks cu cereale integrale si chimen Lillo Palillo,369.9,12,6.6,63.3,5,1 punga = 100 g
Sticks cu sare Paluski,391,13.5,4.5,72.3,0,1 punga = 300 g
Sticks cu susan Eti,417,10.8,18.4,65.5,0,1o punga  = 42 g
Sticks long Croco,375,9,8,71,0,1 punga = 80 g
Sticksuri Circus Lidl,405,9.7,5.7,60,9,1 punga = 200 g
Toast de secara cu gust de usturoi Flint,325,9.7,11,75.1,0, 1 pachet = 35 g
Tortilla chips cascaval Chio,465,6.6,22,60,0,
Tortilla chips Delhaize,493,6.7,22,60.3,4,1 punga = 150 g
Tortilla Chips Nacho Cheese K-classic,470,6.6,20,64,4,1 punga = 150 g
Tortilla chips Tex Mex,483,6,23,63,4.1,1 punga = 125 g
Unt de arahide cu alune crocante Felix,654,19,56,17,7.9,
Alune cu paprika 365,539,13.1,34.6,41.7,3.9,1 punga = 200 g
Alune Grivas,599,28,52.5,15,9.4,1 punga =200 g
Alune picante Crispers Chili Chio,525,12.4,33.6,41.5,3.3,1 pachet = 60 g
Alune sarate Best Foods,576.5,20.3,41.5,31.8,2.8,100
Amestec nuci si stafide California Lidl,483,17,30,35,2.7,1 pachet =100 g
Arahide in coaja Mocerino,559,28.2,43.5,8.7,9.7,O punga 1 KG
Bake Rolls cu sare 7 Days,460,13,15,66,0,1 punga = 80 g
Bake Rolls multigrain usturoi 7 Days,460,13,17,61,0,
Baton Brown Rice Protein Cookie My Protein,447,46,20,18,9.5,1 buc = cca 21 g
Baton cereale cu smochine si prune Aptonia,335,30,12,26,20,1 baton = 25 g
Baton crocant cu caju Schock's,484,10,30.2,50.7,2,1 baton = 30 g
"Baton cu fructe, migdale, cereale, scortisoara Nutribon",327,6.8,10.6,55.4,9.5,1 baton = 40 g
Baton cu musli si mar First Nice,363,4.7,9.7,64,0,1 buc = 30 g
"Baton cu musli, alune si cacao FirstNice",385,7.5,9.6,66.8,0,1 baton = 30 g
"Baton cu musli, prune si iaurt First Nice",410,6.8,17.5,56.3,0,1 baton = 35 g
Baton cu smochine si prune Delhaize,372,3.4,5.4,77.4,8.8,1 buc = 20.8 g
Baton de susan cu alune Tastino,510,12.1,24.3,56.9,0,1 portie = 27 g
"Baton din fructe, cu nuci, cereale si scortisoara Nutribon",349,4.5,14.7,54.3,9,1 buc = 40 g
Baton energizant cu cocos DM,421,22.2,15,49.1,0,1 baton = 35 g
