Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Cascaval Perfecto Dalia Milli,284,20,22,1.5,0,
Cascaval pizza topping Forma Viotros,300,8,28,10,0,
Cascaval portionat Koliba,337,25,25.9,1,0,1 bucata = 200 g
Cascaval Primo Prato,299,22,23,1,0,1 pachet = 500 g
Cascaval Ramona Five Continents,300,24,22,1.5,0,
Cascaval ras Emental 365,369,27.7,28.2,1,0,
Cascaval ras gouda Vian,335,23,27,0.1,0,1 punga = 150 g
Cascaval Rucar Big Panda,306.2,23.5,23,1.3,0,1 pachet = 300 g
Cascaval Rucar Chitriuc,263,25,19,0.1,0,
Cascaval Rucar Comintex,319,21.1,25.5,1.2,0,
Cascaval Rucar Dibaciul,319,21.1,25.5,1,0,
Cascaval Rucar Lunca Ilvei,283,25,19,1,0,
Cascaval Rucar Premio Unicarm,289,24,21,1,0,
Cascaval Rucar Real,294,23,20,1,0,
Cascaval Rucar Vitoro,313,3.2,25,4,0,
Cascaval Schardinger Traungold,346,28,26,0,0,
Cascaval semicurado Alipende,412,23.9,34.6,0.2,0,
Cascaval slab,291,29.6,18.5,1.7,0,
Cascaval Sofia Delaco,311,25,24,0,0,250g
Cascaval Tierno Dia,401,24,29,1,0,
Cascaval Tip,327,25.5,25,0.1,0,
Cascaval vaca si oaie Dej Napolact,340,25,26,2,0,1 buc = 450 g
Cascaval Vio,325,24,25,1,0,
Cascavar Rucar Cora,267,23,19,0,0,
"Chefir 3,5% Napolact",60,3.4,3.5,3.7,0,1 bidon = 330 ml
"Cottage cheese 5,5% 365",103,11,5.5,2.5,0,
Cottage cheese Exquisa,97,13,4.3,1.5,0,1 cutie = 200 g
Cream cheese cu verdeata Kaufland,251,6.8,23,3.9,0,1 cutie = 200 g
Crema branza cu ceapa verde Cora,215,6.4,19.5,3.5,0,
Crema branza cu verdeata Hochland,203,5,19,3,0,1 cutie = 200 g
Crema branza dulce light Carrefour,46,8,0,3.5,0,
Crema branza light Viva,172,11.1,12,4.9,0.1,1 cutie = 200 g
Crema branza natural Philadelphia,250,5.8,23.5,3.2,0.2,
Crema cu branza de vaci si verdeturi Lacteea,137,8.2,9.7,4.2,0,1 cutie = 200 g
Crema cu unt si ardei Sole Gustoso,252,2.5,25,4.4,0,1 cutie = 200 g
Crema de branza  K-Classic,247,6,23.5,2.8,0,1 cutie = 200 g
"Crema de branza 0,2% cu gust de vanilie Exquisa Quark Genuss",87,6.4,0.2,15,0,1 cutie = 150 g
"Crema de branza 0,2% Genuss Amarena Quark  Exquisa",89,6.4,0.2,15.5,0,
"Crema de branza 0,2% piersici si maracuja Exquisa Quark",75,5.8,0.2,12.5,0,1 cutie = 500 g
Crema de branza 20% Ehrmann,86,9,3.7,4.1,0.1,
Crema de branza Alipende,276,6,26.5,3.5,0,
Crema de branza Bonarea,220,6,20,4,0,
Crema de branza camembert Auchan,218,13,18,1,0,
Crema de branza Campus Frischkase,162,7,13.5,3,0,
Crema de branza Ceva Fin Delaco,164,7.3,13,4.4,0,
Crema de branza classic Goldessa,252,4.5,24.5,3,0,1 cutie = 200 g
Crema de branza cu castraveti Hochland,207,6,19,3,0,200
Crema de branza cu ceapa verde Almette,192,9,16,3,0,
Crema de branza cu ciuperci funghi porcini Philadelphia,138,7.1,9.7,4.5,1.1,
Crema de branza cu iaurt Linessa Balance Lidl,118,7.5,8,4,0.2,1 cutie = 200 g
Crema de branza cu ierburi mediteraneene Exquisa,159,6.8,13,3.7,0,
Crema de branza cu smantana,268,2.8,26.2,3.1,0,
Crema de branza cu smantana Apetito,248,7.8,22.5,3.5,0,1 cutie = 150 g
Crema de branza cu usturoi Ceva Fin Delaco,164,7.3,13,1.4,0,1 cutie = 150 g
Crema de branza cu verdeata Ceva fin Delaco,264,7.4,24.5,3.5,0,1 cutie = 140 g
Crema de branza cu verdeata Goldessa,234,6,22,2.8,0,1 cutie = 200 gr
Crema de branza cu verdeata Philadelphia Kraft,149,8,11,4,0.5,
Crema de branza daneza din lapte de vaca pasteurizat cu ananas si migdale Goldessa Lidl,320,8.7,24.4,15.3,0,1 cutie = 125 g
Crema de branza dietetica Frucht&Quark visine Exquisa,87,6,2.9,9.2,0,1 buc = 125 g
Crema de branza Exquisa Natur,50,8.3,0.2,3.8,0,1 cutie = 500 g
Crema de branza Gutes Land,293,2.4,30,3,0,
Crema de branza hrean Almette,248,6,24,2,1,
Crema de branza light 5% Linessa,97,9.5,5,3.3,0,
Crema de branza light de pus pe paine Linessa,172,14.5,9,7,0,1 cutie = 200 g
Crema de branza Light feta si castraveti Philadelphia,151,8.4,11,4,0.1,
Crema de branza moale light Soft Cheese 13% Exquisa,160,7,13,3,0,1 cutie = 200 g
Crema de branza Original Philadelphia Kraft,245,5.8,23,3.2,0.2,
Crema de branza Philadelphia Light,189,8,15.5,3.6,0.4,1 cutie = 125 g
"Crema de branza proaspata 3,7% Ehrmann",86,9,3.7,4.1,0.1,1 cutie = 250 g
Crema de branza proaspata classic Exquisa,247,6,23.5,2.8,0,
