Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
"Pate de ton cu maioneza, unt si lamaie Sainsbury's",326,14.9,29.4,0.4,1.1,
Pate de ton Mandy Foods,171,7.4,13,6.4,0,1 cutie = 120 g
Pate din sprot afumat Ocean Fish,195,12,14,5.3,0,1 conserva = 160 g
Pate sprot Delfish,288,15,12,15,0,1 conserva = 175 g
Peste butterfish afumat ,252,20.9,18.3,1.5,0,
Peste butterfish gatit,187,22.1,10.3,0,0,
Peste de mare,86.9,19.4,0.5,1.2,0,
Peste spada ,144,19.7,6.7,0,0,100 grame
Platica,141,24.8,3,0,0,
Raci,77,14.9,0.8,2.2,0,
Rulada pastravarului de peste Doripesco Real,76.9,2,6.8,1.9,0,
Rulouri de hering in ulei Nautica Lidl,356,8.9,34,3.6,0,1 cutie = 220 g
Salata cu icre de crap Gusturi Romanesti,637.6,7.1,65.4,0,0,
Salata cu icre de hering si ceapa Auchan,543,2,59,1.5,1.2,1 cutie = 70 g
Salata de ton cu naut si castraveti murati,97,10.1,3,5.2,2.4,
Salata icre crap Delta Fish,583,4,63,0,0,1 borcan = 200 g
Salata icre hering cu ceapa 365,491.9,3.1,53,0.6,0,
Salata icre hering Delta Fish,559,6,59,1,0,
Salata mexicana cu ton Auchan,163,8.8,9.8,9.7,0.6,1 cutie = 185 g (50 g peste)
Salau,86,19,0.8,0.2,0,
Saramura de scrumbie,262,14.3,18,9.6,0,
Sardeluta marinata in ulei Gusturi Romanesti Mega Image,300,12.6,27.6,1.2,0.7,
Sardina proaspata,125,20,5,0,0,
Sardine in sos tomat Clever,110,18,4,0,0,1 conserva = 125 g
Sardine in sos tomat La Grande Famiglia,150,17,9,2,0,1 conserva=125 g
Sardine in ulei Blue Bay,147,24,5.3,0.5,0.5,
Sardine in ulei de masline Auchan,245,25.5,15.8,0.1,0,1 conserva = 84 g scursa
Sardine in ulei La grande famiglia,180,21,11,0,0,1 conserva = 125 g
Sardine in ulei vegetal de rapita Ocean Fish,247,16.6,20.1,0,0,1 conserva = 240 g
Sardine in ulei vegetal Home Garden,120,18,5,0,0,1 conserva = 150 g net
Sardinein ulei de floarea soarelui Nixe Lidl,380,18.2,33.8,0.5,0,
Scoici cu sos de usturoi Waitrose,102,8.7,4.4,6.6,0.5,1 portie = 200 g
Scoici La Caldera Lidl,86,12,2.7,3.4,0,1 cutie = 270 g
Scrumbie afumata,211,21.1,14,0,0,
Scrumbie sarata,217,19.8,15.4,0,0,
Somn,280,17.5,18,0.2,0,
Somom afumat Ubago,201,22.1,12.1,1,0.5,
Somon afumat,201,19.9,13.6,0,0,
Somon afumat Aldi ,193,19,13,0,0,
Somon afumat de Alaska Auchan,109,22,1.6,1.6,0,
