Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Kumquat proaspat,71,1.9,0.9,15.9,1,1 fruct = 15 g
Litchi proaspete,66,0.8,0.4,16.5,1.3,
Lychee,66,0.8,0.4,16.5,1.3,
Mandarine,53,0.8,0.3,13.3,1.8,
Mango deshidratat,331,0.7,0.8,83.1,6.1,
Mar confiat,242,0.9,0.3,65.9,8.7,
Mar Golden,49,0,0,11.2,0.1,
Mar verde,51,0,0,12.7,1.3,
Masline feliate,167,0,13.3,6.7,0,1 lingurita = 8 g
Masline kalamata Coop,270,2,28,2,0,
Masline light Zeyno,227,0,20,10,0,
Masline mamut,150,0,13,10,0,1 buc = 8 g
Masline naturale Kalamata,300,0,26.7,13.3,5.2,
Masline negre Alipende,134,0.5,16,0,0,
Masline negre cu samburi Baresa,161,0.5,17,0,0,
Masline negre Delphi,186,1.2,20,0.8,2,
Masline negre in ulei Ece,31,0,3,1,0,1 buc = 3 g
Masline negre light Aro,115,0.8,10.7,6.3,3.2,
Masline verzi,145,1,15.3,3.8,3.3,1 buc = 5 g
Masline Verzi Conssrva Delphi,186,1.2,20,1,2,
Masline verzi Delphi,172,1,18.7,1,2,
Masline verzi Ortomio,142,0.8,15,1,0,1 punga = 200 g
Mere Idared,47,0.4,0.1,11.8,1.8,
Mere verzi Granny Smith,52,0,0,11.1,3.3,
Merisoare deshidratate 365 Mega Image,348,1.2,1.5,82.3,0,1 punga = 100 g
Merisoare deshidratate Orchid,329,0,1,70,19,1 punga = 100 g
Merisor partial deshidratat 365,348,1.2,1.5,82.3,0.1,1 punga = 100 g
Mix de fructe confiate Carrefour,389,8.2,15,56,9,1 punga = 150 g
Mix fructe confiate Schwartau,292,1,0,72,0,
Mix fructe de padure Alfredo Foods,31,1.3,0.5,5.5,0,1 cutie = 250 g
Mix fructe de padure Green Grocers Lidl,48,1.2,0.4,7.2,6.7,2 linguri = 60 g
Mix fructe de padure Premia,28,1,0,6,0,
Mix fructe Exotic Sanovita,310,6,17,68,1.5,1 punga = 250 g
Mure (congelate),37,1.6,0,6.4,5,
Mure de padure congelate Royalfish,43,1.4,0.5,9.6,5.3,1 pachet = 1000 g
Nectarine,47,0.4,0,11.4,2,1 buc = 100 g
Nuca de cocos rasa Casino,678,7.3,70,4.7,15,pachet = 125 g
Nuts and Fruits Mix Kauffland Classic,505,10.3,35.6,31.7,7.3,1 punga = 250g
Papaya,39,0.6,0,9.8,1.8,
Papaya confiata,250,5,0,65,12.5,
Pepene galben Piel de Sapo,30,0.6,0.1,6.6,0.6,1 buc = 1500 g
Pere,58,0.4,0.1,15.5,3.1,
Pere Santa Maria,45,0.3,0.1,8.8,3.8,
Physalis proaspat (cirese de pamant),32,1,1,5.8,2,1 fruct = 6 g
Piersici (compot),80,0.5,0,21.2,1.3,
"Piersici decojite, semi-congelate",50,1.1,0,10.1,1,
