Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Batoane hot dog Horeca,235,1,3.4,49.5,1,1 buc = 70 g
Biscuiti Sfoglia di Grano non salati en superficie Mulino Bianco,445,10,19.9,71.8,2.5,
Chifla cu susan KFC,273.3,8,4.3,54.3,1,1 buc = 30 g
Chifla de secara BioBio,272,9.5,2.3,53.4,6.1,1 chifla = 68g
Chifla hamburger cu susan Castello,277,10,4,48,4,1 chfla = 51 g
Chifla hamburger Roberto,285,8.7,5,51.4,0,
Chifla natur KFC,234.4,6.4,2,49.1,1.8,1 buc = 60 g
Chifla nemteasca Weltmeister,259,8.8,4.4,46.1,5,1 bucata = 100 g
Chifle Hofer,254,9.7,1.7,48.1,3.8,
Corn cu sare si chimen Kornspitz,234,9.2,0,44,0,1 buc = 60 g
Covrig cu mac de la Petru,175,4,2.5,30,0.5,
Covrig cu susan,265,10.6,7.1,56.6,2.8,1 buc = 100 g
Covrigei cu tarate de grau Boromir,449,10.5,13.5,68.4,2,1 punga = 100 g
Crackers din grau intreg si susan Grancereale,431,10.5,12,65.9,8.5,1 cracker = 8 g
Crutoane natur pentru supa Delhaize,563,6.8,38,51.8,2.4,1 punga = 75 g
Felii crocante cu secara Vita Star,412,9.8,2.6,82.5,9.9,
Felii din cereale graham Pirifan,363,10.7,0.6,80,6.5,1 felie = 7 g
Felii paine crocanta Burger Delikatesse,346,9.6,1.7,65.2,15.5,"1 felie = 9,3 g"
Felii paine crocanta integrala Burger Ballastoff ,341,10.5,4.5,54.2,21,1 felie = 10 g
Felii pesmet faina integrala Zwieback,383,14,6,64,8.5,"1 felie = 9,4 g"
Franzela alba Painea Brutarului Lidl,264.5,7.9,1.7,54.4,2,1 buc = 300 g
Franzela Belgusto,248,8.9,1.3,48.7,2.8,1 felie = 20 g
Franzela graham Lidl,268.3,8.8,1.9,54,4.1,
French toast cu faina integrala Vel Pitar,213,10.9,0.9,36.7,7.1,1 paine = 600 g
Lipie libaneza graham Carrefour,306,11.7,3.1,57.4,0,1 lipie = 50 g
Lipie libaneza graham Zaman Bakery,272,10.7,0.6,53.7,4.7,
Lipie mica Nelson,290,10,0.2,62,0,1 lipie = 51 g
Lipie wraps original Poco Loco,332,9.3,8,54.2,0,1 buc = 62 g
Mix faina pentru paine graham Yammix 7 spice,345,14.9,0.8,72,5,1 punga = 500 g
Paine 3 cereale Secretul Moraritei,238,19.7,5.2,28.2,5,
Paine alba cu extract natural de fasole Dobrogea,233,14.7,0.6,40.7,1.2,1 punga = 500 g
Paine alba feliata Boromir,269.3,8.6,1,56.5,0,
Paine alba feliata KB,267.5,8,3.5,51,1.5,1 felie = 25 g
Paine alba feliata Valcu&Valcu Buzau,240,9.1,1,47,0,
Paine aleasa din faina integrala KB,257,14.5,6.2,41.7,6,1 felie = 28 g
Paine bob de grau intreg Alfa-Beta,243,10.5,1.1,42.1,11.2,"1 felie = 15g, coltul nefeliat = 40g, painea = 300"
Paine boiereasca neagra Vel Pitar,228,16.9,1.8,36,6.5,
Paine cereale integrale fara gluten Pural,210,7,4,36,5,
Paine ciabatta,229,8.5,0.7,46.9,1.1,
Paine corcanta dreptunghiulara Finn Crisp Original,350,10,2.6,61,20,1 felie = 6 g
Paine crocanta Crisp Light Wheat Wasa,340,12,2.5,73,6.5,
Paine crocanta cu coriandru Finn Crisp,370,11,2.9,62,16,
Paine crocanta cu secara Alnatura,345,8.4,2,66,14.5,1 felie = 9 g
Paine crocanta cu susan Ryvita,373,10.5,7,58.3,17.5,
Paine crocanta de graham Vita Star,412,10.4,2.3,82.7,9.3,1 felie = 7 g
Paine crocanta de secara Chaber,356,9.7,1.8,67,16.6,1 buc = 7 g
Paine crocanta de secara cu susan Rivercote Lidl,362,11,6,58,14,1 buc = 10 g
Paine crocanta de secara Traditional Finn Crisp,360,10,2.5,62,17,
Paine crocanta de secara Wasa fibre,305,13,8,45,24,1 buc = 11 g
Paine crocanta din faina integrala de secara Wasa Leger,350,10,1.8,67.5,16,1 felie = 9 g
Paine crocanta din secara integrala cu susan 3 Ahren Brot Penny,367,12.4,7.9,53.1,16.9,1 felie = 9 g
Paine crocanta din secara integrala Rivercote,324,10.5,1.6,64,15,1 cracker = 10 g
Paine crocanta dreptunghiulara hi-fibre Finn Crisp,340,12,2.5,53,21,1 felie = 13 g
Paine crocanta integrala cu susan Rivercote,362,11,6,58,16,1 felie = 11 g
Paine crocanta light Wasa,307.6,11.5,0,76.9,15.3,1 felie = 9 g
Paine crocanta sesame Finn Crisps,390,14,9.5,62,7.6,"1 felie = 13,6 g"
Paine crocanta Wasa Sport,310,9,1.5,64,16,1 felie = 18 g
Paine cu faina de secara feliata Boromir,271.9,9.5,1.3,55.5,6,
Paine cu faina integrala Grewe,213,8.9,2,40,0,1 buc = 500 g
Paine cu faina integrala si seminte SanoVita,244.1,8.1,8,31.4,7.1,
Paine cu faina Mix de Fibre,224,5.6,17.1,0.8,21.3,
Paine cu faina neagra feliata Vel Pitar,207,15,0.2,33,6.4,1 felie = 16 g
Paine cu fibre Casa Painii,268.7,8.8,1.5,53.2,4,1 felie = 27 g
Paine cu graham la tava Arcada,237.4,8.2,1.9,49.7,0,1 felie = 25 g
Paine cu sase cereale Vita,215,7,2,34,16,1 felie = 37 g
Paine cu secara Dobrogea,219,8.2,1.7,40,5.3,1 felie = 25 g
Paine cu secara Kaufland K-Classic,257,9.3,4.2,42,7.2,1 buc = 600 g
Paine cu secara Panifcom,229,14.8,0.8,40.7,0.8,
Paine cu secara Vel Pitar,232,9.9,1.3,49,7.8,1 felie = 20 g
Paine cu seminte de dovleac Vita Star,190,5,3,35,9,
Paine cu seminte de in K-Classic,201,5,3,33,10,1 pachet = 500 g
Paine cu soia si seminte de in Burgen,274,15.9,10.1,29.8,6.8,1 felie = 40 g
Paine daneza Nyt Nordisk,230,7,3.5,38,7.5,
Paine de dieta Lujerul,230,8.3,1.1,41.4,3.2,1 felie = 29 g
