Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Pizza Salami Lidl Trattoria Alfredo ,231,11,9.3,25,0,1 buc = 350 g
Pizza speciala Dr. Oetcker,254,9.6,10.1,31.2,2.9,1 buc = 250 g
Pizza Speciale-K classic Kaufland,245,10,9.5,30.2,0,1 pizza = 350 g
Pizza Super Supreme Pizza Hut,238,11,12,21,2,1 buc normala = 250 g
Pizza Vegetariana Pizza Hut,178,7.9,6.9,22.8,1,1 buc normala = 250 g
Placinta congelata cu branza feta Toppo Lidl,281,7.8,14.6,28.6,1.9,1 bucata = 1 kg
Placinta cu carne Bella,430,4,36,20,0,1 buc = 30 g
Placinta cu mure KFC,346,3.8,19.2,41,0,
Pogacele cu cascaval Fornetti,284,8.2,11.3,35.6,0,
Pui la rotisor,183,24.7,9.3,0,0,
Rulouri cu spanac si feta Alfa,285,5.7,15.9,29.8,0,1 buc = 56 g
Salata a la Rousse 365,141,1.7,10.6,9.6,2.2,1 cutie = 250 g
Salata Caesar Grill McDonalds,94,9.4,4.2,4,1.5,1 salata = 285 g
Salata cu patrunjel si bulgur Calif,99,4.4,2.3,16.3,3.8,
Salata Dakota Salad Box,81,6.9,3.8,4.5,1.2,
Salata de pui cu telina 365,176,12.8,8,12.7,0.8,1 cutie = 250 g
Salata Fresh KFC,30.6,1.2,0.2,6,1.9,1 buc = 200 g
Salata Greek KFC,70,3.7,4.5,3.9,1.2,1 buc = 200 g
Salata maxi de pui McDonalds,365,24,19,24,6,
Salata Midi Bon Ton Mcdonalds,36,4.8,0.8,2.4,0.4,1 portie  = 250 g
Salata somon Quick,214,20,9,13,0,
Saleuri cu sunca Vivien,240,6,18,13,0.3,1 punga =100 g
Sandvis Subway Italian BMT Flatbread,420,19,19,44,3,Valorile sunt pentru 1 sanvis 15cm
Sandwich bacon McMuffin cu ou McDonalds,256,16,11.2,19,13.1,1 portie = 137 g
Sandwich Big Tasty McDonalds,245,13,14.8,14,1,1 buc = 345 g
Sandwich Brisket Green Up Papa Verde,290,8,12,28.1,0,1 bucata = 195 g
Sandwich Chicken Grill McDonalds,230,16,7.3,24,1.4,1 buc = 150 g
Sandwich Crispy KFC,230.4,12.2,6.1,31.7,0.3,1 buc = 115 g
Sandwich cu muschi file si cascaval Mega Image,245,6.7,14.2,22.7,1.1,1 sandwich = 165 g
Sandwich cu pastrama de vita si cascaval 365,239.9,6.8,14,21.5,1.1,1 portie = 82.5 g
Sandwich cu piept de pui picant Meltz KFC,288.9,19.7,14.7,19.4,0.4,1 buc = 170 g
Sandwich cu pui Shanghai Valentino,250,10,10,30,0,
Sandwich cu salam x3 Rivoli,330.6,14.3,19.8,21.1,0,1 buc = 87 g
Sandwich cu snitel de pui Yummy Green up Papa verde,165.4,10.5,3,23.1,0,1 bucata = 140 g
Sandwich Fillet KFC,227.1,16,8.5,21.5,0.3,1 buc = 140 g
Sandwich muschi file si cascaval Sandwich Time,226.3,9.9,4.5,36.6,0,1 sandwich = 220 g
Sandwich muschi tiganesc si cascaval afumat Snack Attack,196,12.9,7.8,17.1,0,1 buc = 190 g
Sandwich pui la gratar Subway,140,11,2,21,1.8,1 sandwich = 219 g
Sandwich pui si ardei copt Snack Attack,154,11.3,3.4,18.9,0,1 buc = 200 g
Sandwich Sombrero Green up Papa verde,303,8.6,16.2,28.6,0,1 bucata = 200 g
Sandwich sunca de Praga si cascaval Sandwich Time,258,9.7,8.4,36,0,1 sandwich = 250 g
Sandwich ton cu dressing de iaurt si hrean Snack Attack,243,10.3,11.1,24,0,2 buc = 195 g
Sandwich Tower burger vegetarian KFC,230.7,5.6,8.4,33.3,0.4,1 buc = 140 g
Sandwich Twister vegetarian KFC,241.2,5.6,8.3,36.2,1,1 buc = 165 g
Sandwich vita si branza Subway,146.5,10.4,3,20.4,1.7,15 cm = 230 g
Sandwich Zinger KFC,267.9,15.7,12.3,23.7,0.2,1 buc = 140 g
Saratele cu branza Clarky's Plus,488,13,24,55,0,1 punga = 150 g
Snitel de curcan congelat Saga,194,14,10,12,2,
Snitel de soia Cris-Tim,221,15.4,12.3,15,5,
Steak de peste congelat  Frosta,153,12.8,6,12,0,
Suberec cu carne de vita,248.8,10.8,7,34.9,1.7,1 portie = ~80gr.
Supa cu fidea de preparare rapida cu gust de legume Rollton,480,7.9,22.8,60.8,0,1 punga = 60 g
Supa instant branza si crutoane Mammita,100,2,6,9,0.3,1 portie = 200 ml
Supa instant ciuperci Mammita,37,0.6,1.2,5.9,0.1,1 portie = 200 ml
Supa instant pui Mammita,39,1.2,1.1,5.9,0.3,1 portie = 200 ml
Supa instant rosii cu busuioc Mammita,32,0.9,0.1,6.7,0.3,
Supa instant usturoi Mammita,35,1,1.2,5.1,0.2,1 portie = 200 ml
Tagliatelle cu somon salbatic Frosta,119,4.3,3,18.7,0,1 punga = 500 g
Torta mere Pizza Hut,200,15,9,15,1,1 buc = 40 g
Vinaigrette dressing McDonalds,470,0,50,6,0,1 plic = 50 g
