Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Fasole verde borcan 365,30,1.6,0.2,3.6,3.9,1 borcan = 180g
Fasole verde Carrefour,36,2.5,0.3,4.7,2.6,1 punga = 1 kg
Fasole verde congelata bio Auchan,30,2.1,0.2,3.5,3,
Fasole verde congelata Dujardin,22,1.8,0.1,3.5,3.1,1 punga =1000 g
Fasole verde congelata Gradina cu Soare,33,1.8,0.2,7.6,2.8,
Fasole verde congelata K-Classic,28,1.8,0.1,3.5,3.5,1 punga = 450 g
Fasole verde conserva 365,26,1.6,0.2,3,2.8,1 cutie = 225 g
Fasole verde conserva Victory,20,1,0.1,4,2,
Fasole verde fina Penny,33,1.8,0.2,7.6,0,1 punga = 450 g
Fasole verde Green Grocers Lidl,82,2,3.7,0,0,1 punga = 750 g
Fasole verde jumatati Bonduelle,44,2.8,0,6.8,3.3,1 punga = 400 g
Fasole verde LegoFruct,33,2.2,0.2,5.3,0,
Fasole verde pastai Carrefour,32,4,4.3,0,0,
Fasole verde pastai intreaga fina Bonduell,35,1.9,0.4,4.2,0,
Fasole verde pastai taiata in conserva 365,22,1.2,0.1,3.2,1.9,1 conserva = 225 g
Fasole verde taiata Chira Lidl,31,2.2,0.5,3.3,0,
Felii de soia texturat proteic Darling ,353,52,1,32,2,
Fenicul,31,1.2,0.2,7.3,3.1,
Foi alge de mare Sushi Nori Japonez Blue Dragon,349,46,0,41,33,1 foaie = 2.2 g
Frunze de vita de vie,15,0.2,0,2.6,0,
Ghebe ciuperci de padure,17,2.2,1.2,0.5,0,
Ghiveci in bulion Raureni,21.4,0.8,0.4,6.8,3.1,1 borcan = 700 g
Ghiveci legume Fitness 365,26.1,3.7,0.6,2.2,0.6,1 punga = 400 g
Gogosari,20,0.9,0.2,4.6,1.7,
Gogosari in otet Cody,18,1,0,4,1,
Gogosari murati Aldi R,33,0.7,0.7,4.6,2.5,1 buc = 72 g
Gogosari taiati in otet Aro,21,0.7,0,3,3,
Gulie (congelata),29,1.7,0.2,6.7,1.1,
Hrean,67,7,0,13,6,
Hrean ras Smak,117,2.2,7.8,9.6,6,1 borcan = 175 g
Humus clasic Vernada,280,7.8,21,5.4,17.7,
Inele de ceapa Mc Ennedy,175,4,7,24,0,
Inimi anghinare in apa cu aid citric Kings Crown,59,2.4,0.1,12.2,4,1 borcan = 240 g
Legume 4 Seasons Mix Bonduelle,38,2.5,0.4,4.4,3.5,1 punga = 400 g
Legume amestec mexican Aro,44.6,2.7,0.1,6.1,4.1,1 punga = 1000 g
Legume amestec mexican Penny,51,2.4,0.4,10.7,0,1 punga = 450 g
Legume asiatice congelate Aldi,59,2.3,2.8,4.9,0,1 punga = 750 g
Legume asortate cu broccoli Hortex,23,1.9,0.3,3.1,0,100g.
Legume asortate mexic Greens,47.8,3.3,0.1,8.4,0,
Legume chinezesti Chinese vegetables mix Icefield,28,1.5,0.3,3.4,0,
Legume cogelate pentru supa spring soup Chira,51,2.5,0.5,8.3,0,
Legume congelate  Findus,24,2.1,0.2,3.4,0,1 punga = 325 g
Legume congelate american style Frosta,78,2,5.4,5.4,0,
Legume congelate amestec mexican Alfredo,40,2.6,0.3,6.8,0,1 punga = 400 g
Legume congelate amestec mexican Penny,62,2.5,0.4,10.7,0,1 punga = 450 g
Legume congelate China Mix Vita Star,26,2.1,0.4,3.5,0,1 punga = 450 g
Legume congelate Gourmet Mix Findus,20,1,0.4,3.5,0,1 punga = 325 g
Legume congelate Iglo Corsica,55,1.9,3.2,3.6,2.2,1 punga = 500 g
Legume congelate la tigaie cu orez si ciuperci champignon Hortex,94,3.5,0.4,19,0,1 punga = 400 g
Legume congelate Mexico mix Chira,75,2.9,0.1,13.7,0,1 punga = 450 g
Legume congelate mix de toamna 365,37,1.7,6.7,0.2,0,1 punga = 350 g
Legume congelate pentru supa Buitoni,55,3.2,0.3,8.9,2.8,1 punga = 450 g
Legume congelate Texas Iglo,61,2.9,0.4,10,2.7,1 punga = 450 g
Legume congelate Vip Hortex,39,1.9,0.5,5.4,2,
Legume Cous Cous Hortex,34,2.1,0.2,4.6,0,1 punga = 400 g
Legume cu unt Green Grocers Lidl ,109,2.5,6.6,8.6,0,1 cutie = 300 g
Legume de gradina Bonanza Betty Ice,48,2.5,0.3,8.9,0,1 punga = 320 g
Legume in stil italian Frosta,68,1.4,5.7,2.8,1,
Legume la tigaie cu condiment italian Hortex,47,2.4,0.5,6.7,3.2,
Legume la tigaie cu marar Hortex,56,2,1.6,8.5,0,1 punga = 400 g
Legume la tigaie Stir Fry Hortex,61,2.2,1.5,8.4,0,1 punga = 400 g
Legume Mexico mix Icefield,72,4.4,0.3,12.4,5.1,
Legume pastelate Coop,180,4.1,8.3,20,4.8,1 punga = 450 g
Legume pentru supa Vita Star,26,3.9,0.2,2.1,0,
Legume regesti Iglo,31,1.9,0.7,3.1,2.2,1 punga = 800 g
Legume si sos Asian Style Frosta,65,2.5,3.7,5.5,0,1 punga = 400 g
Legume Summer Mix Bonduelle,70.4,2,2.8,9.3,0,
Legume Thai congelate Frosta,39,1.8,0.9,3.5,2.2,1 punga = 400 g
Linte Carrefour,85,6.3,0.5,12,3.8,
Linte galbena uscata bio Solaris,343,26,2,53,4,
Linte Konpack,341,22.7,2.3,53.2,0,1 punga = 100 g
Linte mare Mega Image,340,24.1,0.8,59,0,1 punga = 500 g
Linte rosie Cora,145,9,0.5,22.1,7.9,1 punga = 500 g
Linte rosie Horeca,133.4,9,0.4,19.5,7.9,
Linte rosie Orlando's,133.4,9,0.4,19.5,7.9,1 punga=500 g
Linte rosie uscata,362,27.7,2.1,59.6,14.9,
Linte uscata Mercadona Aldi R,356,22,2,56.4,12,1 portie nefiarta = 50 g
Linte verde SanoVita,297,18.2,1.2,38,0,1 punga = 500 g
Linte verde uscata Benefica Bio,501,24,1.2,51,11,
Loboda,19,1.7,0,3,1.5,
Macris,11,2.3,0.1,1.3,0.5,
Manatarci,34,4.6,0.4,4.6,2,
Mancare de fasole in sos de tomate baked beans Heinz,79,4.7,0.2,12.9,8.7,1 cutie = 415 g
Masline negre Baresa,148,0.5,16,0.1,0.9,
Masline negre Delphi Light,140,0.3,13.8,2.4,2.4,1 cutie = 465 g net
Masline verzi cu ardei Vitae D'Oro,123,0.9,13,0,0,1 pachet = 180 g
Masline verzi fara samburi Baresa,171,1,18,0.1,0,
Masline verzi umplute cu migdale Iliada,220,1.8,21.9,2,3.6,
Mazare Aldi R,35,3.2,0.4,4.8,3.5,1 cutie = 250 g
Mazare congelata Ardo,49,5,0.9,5.5,0,
