Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Prosciutto delle Alpi Italiamo Lidl,268,26,18,0.5,0,1 portie = 80 g
Pulpa de porc afumata feliata Billa,131,25,3,1,0,1 cutie = 100 g
Rulada coapta de pui Ceptura,130,19,5.5,1,0,
Rulada de porc Camara Noastra,191,18,13,0.5,0,
Rulada de pui Matache Macelaru,124,17,5,2,0,
Rulada pui Alina Aldis,201,14,15,2,0,
Salam 4 anotimpuri Fineo Zimbo,309,20,25,0.1,0,1 felie = 8.5 g
Salam Ahrent Plus,403,21,35,1,0,1 baton = 650 g
Salam ardelenesc Agricola,477.7,16.4,42.1,4.6,0,1 salam = 250 g
Salam ardelenesc Cris-Tim,258,15.5,21.2,1.2,0,1 baton = 500 g
Salam ardelenesc Cris-Tim,418.9,21.3,36.4,1.6,0,1 salam = 280 g
Salam ardelenesc Lidl,481,18,45,1,0,1 buc= 400 g
Salam banatean Aldis,434,19,37,2,0,1 baton = 300 g
Salam banatean Campofrio,499,26,43,2,0,
Salam Banatean Cris-Tim,410,29,32.3,0.9,0,
Salam banatean Real,425,23.6,36.4,0.8,0,
Salam bio Gourmet Zimbo,264,21,19.5,1,0,"1 felie = 12,5 g"
Salam Brotform Zimbo,310,18,26,1,0,1 felie =14 g
Salam chopped Gebirgsjager,192,16,14,0.4,1,
Salam chorizo Cris-Tim,433.3,27.9,35.7,3.1,0,
Salam Chorizo Fuet Aldi R,430,24,36,2.5,0,
Salam Clasic light Linessa,269,21,20,1,0,1 felie = 4 g
Salam crud uscat Napoli Unicarm,460.7,20,40,1.1,0,
Salam cu ardei Dulano ,362,17,32,1,1,
Salam cu invelis de branza Tabula Ligna,399,19,35,2,0,
Salam cu sunca,162,21.2,8.2,0.2,0,1 felie = 10 g
Salam cu sunca Alpinia,172.7,13.2,11.1,5,0,
Salam cu sunca Caroli,135,15,8.5,2.2,0,
Salam cu sunca si fistic Real,117,14,13,1,0,
Salam curcan Carrefour,383,16,35,1,0,
Salam de casa Cris-Tim,301.8,14.3,26.2,2.1,0,
Salam de curcan El Pozo,140,13,9,4,0,
Salam de porc Cris-Tim,316.9,12.5,28.9,1.8,0,
Salam de ren 26% Lindosalami IKEA,480,22,43,1,0,1 felie = 2-3 g
Salam de Sibiu Auchan,426,24,36,1,0,1 bucata = 350 g
Salam de Sibiu Julius Spak,486,21,43,0,0,
Salam de Sibiu Salsi Sinaia Lidl,446,27.1,37.5,0.1,0,
Salam de sunca taranesc Alpinia,232,14.6,18.3,2.3,0,
Salam de sunca taranesc Unicarm,247,12.5,18.9,4.8,0,
Salam de vara Aldis,381,15,34,1,0,
Salam de vara extra Cris-Tim,324.8,16.7,26,4.2,0,
Salam de vara Maestro Caroli,311,15,28,2,0,1 felie medie = 10 g
Salam din carne curcan Linessa Lidl,269,21,20,1,0,
Salam Edel Salami,417,22,36,1,0.5,1 buc = 650 g
Salam Estival Alpinia,269.3,12.9,23,2.6,0,
Salam fagaras uscat Cris-Tim,426,18.1,39.3,0.2,0,
Salam haiducesc Cris-Tim,276.2,12,23.5,4.2,0,
Salam italian Baroni,266,14,22,3,0,1 bucata = 400 g
Salam Milano Cris-Tim,450.5,21.5,38,5.5,0,
Salam Montana Alpinia,257,16,21.2,0.6,0,
Salam Napoli Cris-Tim,406.6,24.6,32.2,4.6,0,
Salam Paraciego Campofrio,390,19,34,2,0,
Salam Peperami,379,25,30,2,3,1 buc = 10 g
Salam pikant extra Cris-Tim,308,13.1,27.1,3.1,0,
Salam porc bio feliat Golfera,350,26,26,1,0,1 pachet = 80 g
Salam prahovean Alpinia,276.3,14.2,23,3.2,0,
Salam presat Baroni,255,18,20,0,0,1 buc = 400 g
Salam rustic Cris-Tim,293,13.1,25.3,3,0,
Salam Rustic Unicarm,460.7,20.3,38.9,1.1,0,
Salam Sandwich  Zimbo,309,20,25,1,0,1 felie = 20 g
Salam sasesc Cris-Tim,339.2,14.1,29.6,4,14.1,
Salam sasesc pikant Cris-Tim,280,17.3,23,1.1,0,
Salam secuiesc Campofrio,250,15,20,2.5,0,
Salam Semenic Caroli,252,17,20,1,0,
Salam Sibiu Carrefour,487,24,43,10,0,
Salam Sibiu Gusturi Romanesti,480.2,24.8,40,1.7,0,1 pachet = 100g
Salam specialitate Carniprod,184.2,14,13,2.8,0,1 felie = 27 g
Salam taranesc de casa Cris-Tim,279.7,14.3,24.2,1.2,0,
Salam traditional Alpinia,176.4,13.9,12,3.3,0,
Salam turist Alpinia,256.4,11.8,21.2,4.7,0,
Salam Ungherese,344,23,28,0.1,0,
Salam uscat,532,25.1,46.1,0.3,0,4 felii = 10 g
Salam uscat Aldis,418,16,37,2,0,
Salam uscat banatean Best Farm,446.1,19.5,39.4,0,0,1 baton = 250g
Salam uscat cu alune Aoste Lidl,470,25.8,40,1.6,0,1 bucata = 250 g
Salam uscat de vara Prodprosper,393.8,15.1,35.7,0,0,
Salam uscat Prodprosper,467,19.9,41.5,2,0,
Salam vara traditional Alpinia,346.6,15.1,31.5,0.7,0,
Salam Victoria Ana si Cornel,176.7,17.5,11.4,1.1,0,
Salam Victoria Baroni,164.1,14.5,11.3,1.1,0,
Salam Victoria Caroli,179,13,13,2.4,0,
Salam vita bio Golfera Bresi,154,28,4.5,1,0,1 pachet = 80 g
Salami Milano Misto Emiliano Lidl,362,25,29,0.2,0,1 buc = 125 g
Sandwich muschi tiganesc O'Fresh,260,12,7.3,36.5,0,1 sandwich = 155 g
Specialitate ceafa presata Cris-Tim,143.7,15.5,9,0.3,0,
Specialitate Fouantre curcan Ifantis,120,22,0.9,5.9,0,1 felie = 50 g
Specialitate piept de pui cu piper verde Cris-Tim,86.5,16.2,1.1,2.9,0,
Specialitate praga afumata Cris-Tim,108.1,16.7,3.2,3.1,0,
Subca taraneasca Dulano,232,26,14,0.4,0,1 pachet = 200 g
Sunca Advent,172,20,10,1,0,
Sunca afumata in coaja de mesteacan Wiesbauer,134,17.6,7,0.1,0.1,
Sunca afumata Zimbo,234,26,14,1,0,
Sunca cu piper Dulano,102,20,2,1,0.1,1 felie = 20 g
Sunca curcan Cris-Tim,88,16.5,1.4,2.4,0,
Sunca curcan Freshsure Cris-Tim,103,22.6,0.5,2,0,1 felie = 16 g
Sunca de bere  Steinemann,214,13,18,0,0,
Sunca de curcan Auchan,108,16.5,3.4,2.4,0,1 felie = 25 g
Sunca de curcan Gallicoop,103,17,2,0.5,0,1 buc = 220 g
Sunca de curcan Perutnina,100,17,3,0.5,1.5,2 felii = 25 g
Sunca de curcan Vitality Cris Tim,102.1,21.1,1.3,1.2,0,
Sunca de porc Deliciu Gourmet,92,17,2,3,0,
Sunca de porc Dulano Lidl,105,20.5,2,1,0.3,1 cutie = 200 g
Sunca de porc feliata Pikok,108,16.2,4.3,1.1,0,
Sunca de Praga Campofrio,112,15,4,4,0,
Sunca de Praga feliata Auchan,198,15,15,2,0,1 felie = 20 g 
Sunca de pui 2% Ifantis,106,15,2,7,0,1 cutie = 200 g
Sunca de pui Campofrio,98,13.5,4,2,0,
Sunca de pui Gourmet,97,20,1.5,1,0,
Sunca deliciu de pui Gourmet,65,16,0.5,1,0,
Sunca din piept curcan York Campofrio,97,18,1,4,0,
Sunca Don Curcan Campofrio,97,18,1,4,0,1 cutie = 150 g
Sunca fina de curcan Perutnina,91,15,3,1,0,
Sunca Giros Zimbo,111,20,3,1,0,1 felie = 16.3 g
Sunca italiana cu pui Cris-Tim,75.9,12.2,1.3,4,0,
Sunca italieneasca de tara Misto Emiliano Lidl,238,28,14,0,0,1 buc = 125 g 
Sunca Metzgerfrisch Kasseler Lachs,119,21,3,2,3,1 bucata= 700 g
Sunca Padurea Neagra Dulano Lidl,261,26,17,1,0,
Sunca piept de pui Dulano,102,22,1,1,0.3,1 felie cca 7 g
Sunca pizza Alpinia,97.6,12.2,3.8,3.6,0,
Sunca porc cu rosii si busuioc Fineo Zimbo,102,20,2,1,0,1 cutie = 100 g
Sunca porc rotisata Zimbo,133,21,5,1,0,
Sunca praga afumata extra Agricola,95.7,15.7,3.2,0.5,0,
Sunca Praga Caroli,114,16,4,3.5,0,
Sunca Praga Casa Gustului,95,14,3,3,0,
Sunca Praga Cris-Tim,83,14.2,2.1,1.2,0,
Sunca Praga Fox,80,16.6,1,0.7,0,
Sunca Praga Meda,101.3,16,3.3,1.9,1,1 felie = 38 g
Sunca Prahoveana cu pui Alpinia,89.3,13,2.5,3.8,0,
Sunca presata AlCampo,105,18,3,1.5,0,1 felie = 33 g
Sunca presata Best Farm,132,20,5,0,0,1 felie = 20 g
Sunca presata de porc Sissi Caroli,94,17,2,2,0,
Sunca presata din piept de pui Angst,91,18,1.6,1.3,0,
Sunca presata porc,294,24.9,20.7,0,0,
Sunca presata porc Italiano Zimbo Gourme,111,20,3,1,0,
Sunca prosciutto Schwarzwalder Grafenwalder,204,23,12,1,0,
Sunca pui Alpinia,85.8,16.1,0.6,4,0,
Sunca pui Elit,71,12.2,1.6,2,0,
Sunca Serrano Dulano Lidl,232,30,12,1,0,1 pachet = 100 g
Sunca taraneasca Hermann Wein,243,26,15,1,0,1 pachet = 100 g
Sunca Toast Saltempo,99.1,15.3,2.5,3.2,0,1 felie = 30 g
Sunca uscata de vita Bresaola,153,31,2,3,0,
Sunculita de porc Fox,181,20.1,10.8,0.9,0.2,
Sunculita taraneasca Angst,200,15.1,14.9,1.4,0,
Toba Ana si Cornel,240.8,17.1,22.3,0.8,0,
